Fecha;Medio;Titular;URL;Tipo
15/01/2026;Infobae;Rumba hasta las 5:00 a. m. en Bogotá: experto advierte desafíos en seguridad y movilidad por la medida - Infobae;https://www.infobae.com/colombia/2026/01/16/rumba-hasta-las-500-a-m-en-bogota-experto-advierte-desafios-en-seguridad-y-movilidad-por-la-medida/;Internet
16/01/2026;El Tiempo;El Distrito redujo nueve delitos, pero percepción de inseguridad se disparó;https://p.eprensa.com/view_pdf.php?sid=23129&cid=1622977169;Prensa
17/01/2026;Canal RCN;Algunos dueños Locales comerciales nocturnos de Bogotá denuncian que quedaron por fuera de la ampliación de zonas de rumba en la ciudad (Omar Oróstegui Dir. GOVLAB Universidad de la Sabana Andrés Nieto director del Observatorio de Seguridad de la Universidad Central);https://a.eprensa.com/view_pdf.php?sid=23130&cid=1623918097;TV
27/01/2026;La FM Radio;Punto de Quiebre // Lafaurie dice que se filtró carta en la que piden con Cabal no continuar en el Centro Democrático // política - partidos politicos - elecciones - candidatos presidenciales - funcionarios públicos -;https://a.eprensa.com/view_pdf.php?sid=23130&cid=1629717995;Radio
18/01/2026;desopinion.com;El salario mínimo no es gratis (y alguien siempre paga la cuenta);https://desopinion.com/el-salario-minimo-no-es-gratis-y-alguien-siempre-paga-la-cuenta;Internet
2/02/2026;desopinion.com;El ocaso de un símbolo ¿Para qué sirve hoy el Día sin Carro?;https://desopinion.com/el-ocaso-de-un-simbolo-para-que-sirve-hoy-el-dia-sin-carro;Internet
1/02/2026;eltiempo.com;Opinión | El ocaso de un símbolo ¿Para qué sirve hoy el Día sin Carro?;https://www.eltiempo.com/bogota/opinion-el-ocaso-de-un-simbolo-para-que-sirve-hoy-el-dia-sin-carro-3528899;Internet
2/02/2026;El Tiempo;OPINIÓN El ocaso de un símbolo: ¿para qué sirve hoy el día sin carro?;https://p.eprensa.com/view_pdf.php?sid=23129&cid=1634484143;Prensa
2/02/2026;desopinion.com;El ocaso de un símbolo ¿Para qué sirve hoy el Día sin Carro?;https://desopinion.com/el-ocaso-de-un-simbolo-para-que-sirve-hoy-el-dia-sin-carro;Internet
5/02/2026;minuto60.com;¿Tiene sentido actualmente el Día sin Carro en Bogotá? Análisis de un experto y cifras oficiales;https://minuto60.com/bogota/tiene-sentido-actualmente-dia-carro-bogota/5749;Internet
9/02/2026;El Tiempo;OPINIÓN - El Campín, entre charcos y conciertos;https://p.eprensa.com/view_pdf.php?sid=23129&cid=1639133925;Prensa
8/02/2026;desopinion.com;El Campín, entre charcos y conciertos;https://desopinion.com/el-campin-entre-charcos-y-conciertos;Internet
15/02/2026;eltiempo.com;Opinión | El sicariato como posible brazo armado de la extorsión;https://www.eltiempo.com/bogota/opinion-el-sicariato-como-posible-brazo-armado-de-la-extorsion-3532645;Internet
16/02/2026;El Tiempo;El sicariato como posible brazo armado de la extorsión;https://p.eprensa.com/view_pdf.php?sid=23129&cid=1643698222;Prensa
22/02/2026;El Tiempo;Hogar de cuatro personas en Bogotá necesitaría unos $ 7,6 millones mensuales;https://p.eprensa.com/view_pdf.php?sid=23129&cid=1647980470;Prensa
21/02/2026;eltiempo.com;¿Cuánto se necesita para vivir en Bogotá en 2026? Estos serían los cálculos para un hogar de cuatro personas y para una sola persona;https://www.eltiempo.com/bogota/cuanto-se-necesita-para-vivir-en-bogota-en-2026-estos-serian-los-calculos-para-un-hogar-de-cuatro-personas-y-para-una-sola-persona-3534263;Internet
22/02/2026;desopinion.com;¿Cuánto se necesita para vivir en Bogotá en 2026? Estos serán los cálculos para un hogar de cuatro personas y para una sola persona;https://desopinion.com/cuanto-se-necesita-para-vivir-en-bogota-en-2026-estos-seran-los-calculos-para-un-hogar-de-cuatro-personas-y-para-una-sola-persona;Internet
23/02/2026;pulzo.com;Cuánto dinero necesita una persona para vivir en Bogotá en 2026: un salario mínimo no le alcanza;https://www.pulzo.com/economia/cuanto-necesita-para-vivir-bogota-2026-salario-minimo-ahora-no-alcanza-PP5061894;Internet
15/02/2026;desopinion.com;El sicariato como posible brazo armado de la extorsión;https://desopinion.com/el-sicariato-como-posible-brazo-armado-de-la-extorsion;Internet
1/03/2026;eltiempo.com;Opinión | La democracia frente a la amenaza de la desinformación;https://www.eltiempo.com/bogota/opinion-la-democracia-frente-a-la-amenaza-de-la-desinformacion-3536431;Internet
